Date,Open_Stock_Price,High_Stock_Price,Low_Stock_Price,Close_Stock_Price,Stock_Volumn,Stock_Dividends,Stock_Splits,Open_Currency_Rate,High_Currency_Rate,Low_Currency_Rate,Close_Currency_Rate,Currency_Rate_Volumn,Currency_Rate_Dividends,Currency_Stock_Splits,Total_Sales(EUR_Million),EPS
2020-02-13,247.70873015475664,248.62958045272973,245.774938908589,246.97206115722656,371975.0,0.0,0.0,1.0876421928405762,1.0890873670578003,1.0835527181625366,1.0875948667526243,0.0,0.0,0.0,6575.994505494506,3.82
2020-02-14,247.73944713788558,248.35334733653428,245.7135744296088,246.75721232096353,341516.6666666667,0.0,0.0,1.0845986604690552,1.0862481594085691,1.0831302404403689,1.0845986604690552,0.0,0.0,0.0,6560.896703296703,3.82
2020-02-15,247.7701641210145,248.07711422033887,245.65220995062862,246.54236348470053,311058.3333333333,0.0,0.0,1.0844183762868245,1.0859655539194741,1.0830950339635215,1.084457556406657,0.0,0.0,0.0,6545.798901098901,3.82
2020-02-16,247.80088110414343,247.80088110414343,245.5908454716484,246.3275146484375,280600.0,0.0,0.0,1.084238092104594,1.0856829484303792,1.0830598274866743,1.0843164523442586,0.0,0.0,0.0,6530.701098901099,3.82
2020-02-17,244.85415800453035,248.44546956401177,244.02539812190065,247.06419372558597,500586.0,0.0,0.0,1.0840578079223633,1.0854003429412842,1.0830246210098269,1.0841753482818604,0.0,0.0,0.0,6515.603296703297,3.82
2020-02-18,247.2483683237612,250.74758911132807,246.3275177899669,250.74758911132807,445600.0,0.0,0.0,1.0837054252624512,1.0839003324508667,1.078690528869629,1.0840108394622805,0.0,0.0,0.0,6500.505494505494,3.82
2020-02-19,251.3921801494936,251.7605147197636,244.66998291015625,244.66998291015625,464349.0,0.0,0.0,1.0794706344604492,1.0808473825454712,1.078360080718994,1.079540491104126,0.0,0.0,0.0,6485.407692307692,3.82
2020-02-20,244.0253623446128,245.68288186685837,242.3678428223672,244.9462127685547,588359.0,0.0,0.0,1.080964207649231,1.0821000337600708,1.0779578685760498,1.081009864807129,0.0,0.0,0.0,6470.30989010989,3.82
2020-02-21,242.0608911943985,243.93327963870018,239.97363388289443,241.87671915690103,732268.6666666666,0.0,0.0,1.078771948814392,1.0863661766052246,1.078771948814392,1.078799843788147,0.0,0.0,0.0,6455.212087912088,3.82
2020-02-22,240.09642004418416,242.18367741054203,237.57942494342166,238.80722554524738,876178.3333333333,0.0,0.0,1.0804673433303833,1.0863661766052246,1.0794637600580852,1.0805015961329143,0.0,0.0,0.0,6440.114285714286,3.82
2020-02-23,238.13194889396985,240.43407518238385,235.18521600394888,235.73773193359372,1020088.0,0.0,0.0,1.0821627378463743,1.0863661766052246,1.080155571301778,1.0822033484776814,0.0,0.0,0.0,6425.016483516483,3.82
2020-02-24,237.11901423873888,237.9477741049729,230.58096977910915,232.6989288330078,805814.0,0.0,0.0,1.0838581323623655,1.0863661766052246,1.0808473825454712,1.0839051008224487,0.0,0.0,0.0,6409.918681318682,3.82
2020-02-25,232.698902972412,236.2902281127932,225.33209946524536,233.89601135253903,963408.0,0.0,0.0,1.084904670715332,1.088174819946289,1.083177089691162,1.0849199295043943,0.0,0.0,0.0,6394.820879120879,3.82
2020-02-26,229.2917615287697,231.68597831375223,223.0299756727916,227.08172607421875,1042696.0,0.0,0.0,1.0881001949310305,1.090358018875122,1.085564136505127,1.0881996154785156,0.0,0.0,0.0,6379.723076923077,3.82
2020-02-27,221.0041220257391,225.0558586424522,216.5840367750116,221.9249725341797,1982702.0,0.0,0.0,1.088565707206726,1.1005700826644895,1.088565707206726,1.088589429855347,0.0,0.0,0.0,6364.625274725275,3.82
2020-02-28,222.90720919012566,226.74408158061158,217.90392057113175,223.9201456705729,1792145.0,0.0,0.0,1.0995535850524902,1.10527765750885,1.095158338546753,1.0997228622436523,0.0,0.0,0.0,6349.527472527472,3.82
2020-02-29,224.81029635451225,228.43230451877093,219.22380436725186,225.91531880696613,1601588.0,0.0,0.0,1.101453463236491,1.1089877287546794,1.098015030225118,1.1015256245930989,0.0,0.0,0.0,6334.42967032967,3.82
2020-03-01,226.7133835188988,230.12052745693032,220.543688163372,227.91049194335935,1411031.0,0.0,0.0,1.1033533414204915,1.1126978000005086,1.100871721903483,1.1033283869425456,0.0,0.0,0.0,6319.331868131868,3.82
2020-03-02,230.58095007506668,235.55355100073504,229.10759776643613,231.50180053710935,1146229.0,0.0,0.0,1.1052532196044922,1.116407871246338,1.103728413581848,1.1051311492919922,0.0,0.0,0.0,6304.234065934066,3.82
2020-03-03,231.7780717916828,240.43407506243955,230.30471939847112,238.9607086181641,948591.0,0.0,0.0,1.1144297122955322,1.120749592781067,1.1097301244735718,1.114404797554016,0.0,0.0,0.0,6289.136263736264,3.82
2020-03-04,240.43407070997523,242.27577170644824,234.26436113093988,237.11900329589844,903511.0,0.0,0.0,1.1177304983139038,1.1185681819915771,1.109693169593811,1.118067979812622,0.0,0.0,0.0,6274.038461538462,3.82
2020-03-05,232.9751737033021,238.2240327311442,229.19968107819875,233.6197662353516,1305075.0,0.0,0.0,1.113908290863037,1.1204482316970823,1.1121737957000732,1.113908290863037,0.0,0.0,0.0,6258.940659340659,3.82
2020-03-06,228.0025785707561,234.1108941849134,225.05585046923926,228.43230692545575,1569973.0,0.0,0.0,1.1223849058151243,1.135473370552063,1.1213905811309814,1.1223849058151243,0.0,0.0,0.0,6243.842857142858,3.82
2020-03-07,223.02998343821008,229.9977556386826,220.91201986027974,223.24484761555993,1834871.0,0.0,0.0,1.1277949412663777,1.1401768525441487,1.126153588294983,1.127790609995524,0.0,0.0,0.0,6228.745054945055,3.82
